station_a,station_b,distance_km
Tilff,Y.Aguesses,4.934987524438928
Angleur-C.L.I.,Y.Aguesses,1.2635846113474993
Y.Aguesses,Y.Val-Benoit,0.7709709889717999
Y.Aguesses,Y.Garde-Dieu,0.6444611963809209
Kinkempois-Block_2,Y.Aguesses,0.612838050561979
Angleur,Y.Aguesses,0.7136436092610561
Mery,Tilff,2.4916855469972092
Racc.Engis-Carmeuse,Racc.Palifor,3.161046612994564
Racc.Engis-Carmeuse,Racc.Segal,1.8214070016748747
Racc.MGM-Winters,Racc.Palifor,0.5529868132310277
Inrit_Olen-Bundel,Olen-Sas,0.6000525656036114
Olen,Olen-Sas,1.191828649301497
Olen-Sas,Y.Kruisberg,3.653182827400099
Inrit_Olen-Bundel,Olen-Bundel,0.2999432256845396
Inrit_Olen-Bundel,Verb.Olen-Umicore,0.11536970068730153
Jurbise,Y.Jurbise,2.1745915036919983
Masnuy-Saint-Pierre,Y.Jurbise,1.5671290726751876
Courbe_de_Jurbise-PN_78,Y.Jurbise,1.5371510942980862
Erbisoeul,Jurbise,2.96268243569583
Jurbise,Y.Lens,0.9556342428117365
Antwerpen-W.H.-B.Krommenhoek,Y.Krommenhoek,0.49991064995414736
B.Krommenhoek-Uitrit_J,Y.Krommenhoek,1.2843759431684891
Kieldrechtsluis,Y.Krommenhoek,1.0442142865342945
Antwerpen-W.H.-B.Krommenhoek,B.Krommenhoek-Uitrit_J,0.78448447513443
Buizingen,Lot,1.7989034428222193
Lot,Ruisbroek,3.3731729304047033
Buizingen,Y.Noord_Halle,0.6477466719612279
Y.Haren-Nord_Y.Haren-Noord,Y.Rue_de_Bruel_Y.Bruulstraat,0.4066596895232058
Y.Entree_Groupe_R_Y.Inrit_Groep_R,Y.Rue_de_Bruel_Y.Bruulstraat,0.2848246986550888
Entree_Schaerbeek-C.P.I._Inrit_Schaarbeek-P.C.I.,Y.Rue_de_Bruel_Y.Bruulstraat,0.22326287786174182
Machelen,Y.Haren-Nord_Y.Haren-Noord,0.3554389602558325
Schaerbeek-Quai_C.P.I_Schaarbeek-Perron_P.C.I.,Y.Haren-Nord_Y.Haren-Noord,0.3638475376245216
Zeebrugge-BPEL-Inrit-ICO,Zeebrugge-Bundel_Pelikaan,0.82817371721184
Y.Pelikaan,Zeebrugge-Bundel_Pelikaan,0.9917856990500041
Zeebrugge-BPEL-EFICO,Zeebrugge-Bundel_Pelikaan,0.14509476448677566
Y.Eivoorde,Zeebrugge-Bundel_Pelikaan,0.6760891052326483
Zeebrugge-BPEL-NDQ,Zeebrugge-Bundel_Pelikaan,0.6246317252423085
Zeebrugge-BPEL-ICO2,Zeebrugge-BPEL-Inrit-ICO,0.14128058531202647
Zeebrugge-BPEL-ICO1,Zeebrugge-BPEL-Inrit-ICO,0.34248043699493774
Liege-Guillemins,Y.Val-Benoit,1.4723874102037855
Liege-Guillemins,Liege-Plans,0.3274389146219515
Liege-Guillemins,Liege-Guillemins-Faisceau,0.96566799175395
Liege-Guillemins,Sclessin,1.781101591825118
Liege-Carre,Liege-Guillemins,1.6726499085843158
Kinkempois-Block_2,Y.Val-Benoit,0.40383093957750704
Y.Garde-Dieu,Y.Val-Benoit,0.4523831857211349
Liege-Guillemins-Faisceau,Y.Val-Benoit,0.5422576914306984
L219-Inrit_Stukwerkers2,Verb.Stukwerkers2,0.1091975724562861
L219-Inrit_Stukwerkers2,L219-Rooster_Ringspoor,0.6441839393939293
Evergem-Uitrit_Bundel_Zandeken,L219-Inrit_Stukwerkers2,0.6466505407774207
Bruxelles-Midi_Brussel-Zuid,Y.Ruisbroek,4.846381001156306
Bruxelles-Midi-Gril_JNM_Brussel-Zuid-Rooster_NZV,Bruxelles-Midi_Brussel-Zuid,0.36860337330758325
Bruxelles-Midi_Brussel-Zuid,Y.Bruxelles-Petite-Ile_Y.Brussel-Klein-Eiland,1.9444308945256066
Anderlecht-Gril_Est_Anderlecht-Rooster_Oost,Bruxelles-Midi_Brussel-Zuid,3.5118621717452956
Bruxelles-Midi_Brussel-Zuid,Y.Cureghem_Y.Kuregem,1.129791538468397
Bruxelles-Midi_Brussel-Zuid,Ligne_96-Bypass_Lijn_96-Bypass,1.1921064846278933
Bruxelles-Midi_Brussel-Zuid,Y.Forest-Est_Y.Vorst-Oost,1.6010464522281183
Forest-Midi_Vorst-Zuid,Y.Ruisbroek,1.3396289154353256
Ruisbroek-Bundel,Y.Ruisbroek,0.6908112635514251
Ruisbroek,Y.Ruisbroek,0.9450805052978722
Y.Noord_Halle,Y.Ruisbroek,6.759406843743407
Ruisbroek-Bundel-Inrit_Ruisbroek-Bundel-Inrit,Y.Ruisbroek,0.03472083869437977
Kontich-Lint,Y.Duffel,1.3139450001406432
Duffel,Y.Duffel,3.5243378690005565
Y.Duffel,Y.Lint,0.7826985663912496
Duffel,Kontich-Lint,4.828565137709566
Hove,Kontich-Lint,2.374457372800377
Kontich-Lint,Y.Lint,0.9712059561105841
Aarschot,Y.Zuid_Driehoek_Aarschot,1.197075248804079
Y.Noord_Driehoek_Aarschot,Y.Zuid_Driehoek_Aarschot,0.623589049604982
Y.Oost_Driehoek_Aarschot,Y.Zuid_Driehoek_Aarschot,0.8936495794445389
Aarschot,Wezemaal,6.160144378239585
Hayettes,Leval,1.9626351783433
Hayettes,Y.Mariemont,1.5385420876106564
Binche,Leval,3.671424441760061
Stockem-Raccordements,Stockem-Sud,0.7002799819515487
Stockem-Nord,Stockem-Raccordements,0.51555824104006
Stockem-Sud,Viville,0.9979238529677572
Stockem,Stockem-Sud,0.2939750720517409
Montzen-Est,Montzen-N,0.5196868537921342
Montzen-N,Montzen-Ouest,1.8474576503053137
Montzen,Montzen-Est,1.4581243151634655
Montzen-Est,Montzen-Gril_Q,0.49650173667118386
Montzen-Est,Montzen-Gazoil,0.15800289347847488
Y.Leopold,Y.Noorderlaan,0.46034752291088754
Y.Ekersedijk,Y.Noorderlaan,1.8545752136760232
Y.Ford,Y.Noorderlaan,0.40536106847017983
Lijn_220/1-Kruising_lijn_221A,Y.Noorderlaan,0.33546366655575705
Verb.IVC,Y.Noorderlaan,0.4232983217188483
Verb.Molenbergnatie,Y.Noorderlaan,0.43568987575699836
Antwerpen-D.S.-Angola,Y.Leopold,1.1623028982434942
Antwerpen-D.S.-Wilmarsdonk,Y.Leopold,1.0592550817778918
Lijn_220/1-Kruising_lijn_221A,Y.Leopold,0.3647099014631818
