station_a,station_b,distance_km
Pfennigbach,Puchberg_am_Schneeberg,1.1397109408034367
AB_-_Gru_A1,Pfennigbach,0.040692810357114424
Eberstein_Lst,Hst außer Betrieb (Ksp_H1) [BSTS_ID=1097],2.268177240387907
AB__-_Wtf_A1A,Hst außer Betrieb (Ksp_H1) [BSTS_ID=1097],1.7009777810551858
Bruckl,Eberstein_Lst,6.632852567955604
Unter_Waltersdorf,Wampersdorf,2.9638786604553085
Sbl Mim 1 [BSTS_ID=1363496],Unter_Waltersdorf,1.3420673116892337
Ebreichsdorf,Wampersdorf,3.6927428217046265
Ust_Wp_1,Wampersdorf,2.7512429948602537
Kaiserebersdorf,Wien_Albern_Sud,1.1594965787228653
Kaiserebersdorf,Wien_Zvbf-Ost,1.6730854345845334
Kaiserebersdorf,Wien_Zvbf-Nord,1.7760820083673308
Abzw_Cf_1,Kaiserebersdorf,1.4189233331232667
Kaiserebersdorf,Schwechat_West,0.6212019174108401
Wien_Albern_Hafen,Wien_Albern_Sud,1.0142942214837563
Groreifling,Landl [BSTS_ID=1238],3.5438792362561493
Groreifling,Sbl Weg 1 [BSTS_ID=2417],5.195386725662996
AB__-_Ll_A1,Landl [BSTS_ID=1238],1.792444110129064
AB__-_Gf_A1,Gopfritz,3.0820289371042566
Gopfritz,Sbl Irn 1 [BSTS_ID=949],4.7336758957669
AB__-_Gf_A1,Allentsteig,2.625386120898098
Abzw_Bl_1,Parndorf_Ort/Pandrof_mjesto,0.25136224428853393
Parndorf/Pandrof,Parndorf_Ort/Pandrof_mjesto,1.5405322260526912
Neusiedl_am_See,Parndorf_Ort/Pandrof_mjesto,4.557283485002286
Abzw_Bl_1,Bruck_a.d.Leitha_Fbf,4.616217153710915
AB__-_Tat_A1,AB__-_Tat_A1A,0.1045374341089002
AB__-_Tat_A1A,Teesdorf,3.9151394822439323
AB__-_Tat_A1,AB__-_Tat_A2,0.7411655760030023
Abzw_Ln_1,Stainach-Irdning,2.944655632668948
Abzw_Ln_1,Worschach_Schwefelbad,0.10422562659821431
Abzw_Ln_1,Worschach,0.10422562659821431
Purgg,Stainach-Irdning,3.2098838059790236
St.Martin_am_Grimming,Stainach-Irdning,6.861958582137097
Linz_Ebelsberg,Linz_Kleinmunchen,1.964673705508728
Abzw_Ast_1,Linz_Ebelsberg,1.1321824341939029
Abzw_Ast_1,Linz_Kleinmunchen,3.0923111577163036
Linz_Kleinmunchen,Linz_Vbf-West,1.3030088566627753
Linz_Kleinmunchen,Sbl Kue 1 [BSTS_ID=1108],1.797520246714293
Hst außer Betrieb (Sd_H1) [BSTS_ID=1967],Lichendorf,2.247582388317609
Hst außer Betrieb (Sd_H1) [BSTS_ID=1967],Spielfeld-Stra,3.218770098165394
Lichendorf,Weitersfeld_a.d.Mur,1.7703075108477992
Faak_am_See,Ledenitzen,4.05575364777335
Faak_am_See,Finkenstein,3.496074769584653
Ledenitzen,Ledenitzen_Ost,1.1137713013699284
Herzogenburg,Herzogenburg-Sud,1.0714722020342702
